# P-values	0.001	0.0005	0.0001
AHR_MOUSE.H11MO.0.B	3.3193649999999995	3.9024150000000004	5.154045
AIRE_MOUSE.H11MO.0.C	5.55011	6.26976	7.74521
ALX1_MOUSE.H11MO.0.B	5.4381	6.188834999999999	7.62084
ANDR_MOUSE.H11MO.0.A	3.1922099999999998	4.38466	6.864560000000001
ANDR_MOUSE.H11MO.1.A	5.56466	6.49918	8.02181
AP2A_MOUSE.H11MO.0.A	3.0766150000000003	4.268915	6.69731
AP2B_MOUSE.H11MO.0.B	4.229699999999999	4.911695	6.30162
AP2C_MOUSE.H11MO.0.A	3.48911	4.63101	7.05012
AP2D_MOUSE.H11MO.0.D	3.146185	3.8693099999999996	5.346775
ARI3A_MOUSE.H11MO.0.D	5.30771	6.3106100000000005	8.41846
ARI5B_MOUSE.H11MO.0.C	5.146665	5.71549	6.88536
ARNT2_MOUSE.H11MO.0.D	4.19397	4.80706	6.04598
ARNT_MOUSE.H11MO.0.B	2.11109	2.64396	5.40709
ASCL1_MOUSE.H11MO.0.A	3.1063099999999997	4.42636	7.272010000000001
ASCL2_MOUSE.H11MO.0.C	4.24543	5.25056	7.758509999999999
ATF1_MOUSE.H11MO.0.B	3.79049	4.70336	6.274559999999999
ATF2_MOUSE.H11MO.0.A	4.648515	5.554755	7.26621
ATF3_MOUSE.H11MO.0.A	5.0747	6.216595	7.67777
ATF4_MOUSE.H11MO.0.A	2.466665	4.050945	6.75737
ATF7_MOUSE.H11MO.0.D	4.901275	5.71311	7.317015
ATOH1_MOUSE.H11MO.0.B	4.22513	5.28277	7.83985
BACH1_MOUSE.H11MO.0.C	4.346550000000001	5.257709999999999	7.103009999999999
BACH2_MOUSE.H11MO.0.A	4.400205	5.390025	7.409050000000001
BARX1_MOUSE.H11MO.0.C	5.78797	6.40138	7.61696
BARX2_MOUSE.H11MO.0.D	5.537195	6.222395000000001	7.4517050000000005
BATF3_MOUSE.H11MO.0.A	5.36886	6.273109999999999	8.12301
BATF_MOUSE.H11MO.0.A	5.46811	6.31846	8.01371
BATF_MOUSE.H11MO.1.A	5.2728850000000005	6.232855	8.105675
